                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70135,                0.51397,                 1.0374,                0.94287,                0.96996,                  0.995,                0.80207,                0.70922,                0.55971,                 1.1394,               0.007756,               0.007756,               0.007756
                     36,                0.69659,                0.55049,                 1.0554,                0.90934,                  0.975,                   0.99,                0.78822,                 0.7644,                0.47426,                 1.1831,                0.00769,                0.00769,                0.00769
                     37,                 0.6946,                0.54624,                  1.045,                0.93218,                0.97593,                  0.995,                0.81731,                0.70715,                0.50365,                 1.1419,               0.007624,               0.007624,               0.007624
                     38,                0.70693,                0.53244,                 1.0171,                0.89185,                0.98909,                  0.995,                0.78793,                0.80648,                 0.5097,                 1.2278,               0.007558,               0.007558,               0.007558
                     39,                0.69931,                0.56752,                 1.0465,                0.86937,                0.95708,                  0.995,                0.80203,                0.78082,                0.70866,                 1.2361,               0.007492,               0.007492,               0.007492
                     40,                0.68505,                0.49887,                  1.038,                0.95051,                0.89594,                   0.97,                0.76471,                0.81398,                0.68665,                 1.2599,               0.007426,               0.007426,               0.007426
                     41,                0.67507,                0.49277,                0.99883,                0.85268,                   0.95,                  0.985,                0.77832,                0.82118,                0.59412,                 1.2759,                0.00736,                0.00736,                0.00736
                     42,                0.68081,                0.51429,                 1.0332,                  0.935,                0.92523,                   0.99,                0.81737,                0.73272,                0.51687,                 1.1867,               0.007294,               0.007294,               0.007294
                     43,                0.69017,                0.49229,                 1.0255,                0.93498,                0.93018,                  0.995,                0.82719,                0.70992,                0.53106,                 1.1614,               0.007228,               0.007228,               0.007228
                     44,                0.66764,                0.49404,                 1.0075,                0.92157,                0.93531,                0.97833,                0.79218,                0.74076,                0.57791,                 1.1455,               0.007162,               0.007162,               0.007162
                     45,                0.73048,                0.51773,                 1.0768,                0.89111,                0.94604,                0.96375,                0.76673,                0.81485,                0.56858,                  1.204,               0.007096,               0.007096,               0.007096
                     46,                0.67612,                0.47771,                 1.0264,                0.91598,                      1,                  0.985,                0.77859,                0.77253,                0.44928,                 1.2043,                0.00703,                0.00703,                0.00703
                     47,                0.66377,                0.48487,                 1.0448,                0.92977,                      1,                  0.995,                0.81649,                0.72207,                0.42541,                 1.1725,               0.006964,               0.006964,               0.006964
                     48,                0.66254,                0.49181,                 1.0155,                0.95897,                0.99421,                  0.995,                0.82723,                 0.7444,                0.42848,                 1.1865,               0.006898,               0.006898,               0.006898
                     49,                0.69853,                0.50163,                 1.0633,                0.91219,                0.98418,                  0.995,                0.81046,                0.79429,                0.50769,                 1.2975,               0.006832,               0.006832,               0.006832
                     50,                0.66324,                 0.4833,                 1.0237,                0.93362,                  0.975,                   0.99,                0.78147,                0.79132,                0.47488,                 1.2433,               0.006766,               0.006766,               0.006766
                     51,                0.64496,                0.51184,                 1.0154,                0.94541,                0.99986,                  0.995,                0.80148,                0.75531,                0.42494,                 1.2151,                 0.0067,                 0.0067,                 0.0067
                     52,                0.67795,                0.46801,                 1.0309,                0.96751,                      1,                  0.995,                0.81051,                 0.6972,                0.41585,                 1.1632,               0.006634,               0.006634,               0.006634
                     53,                 0.6597,                0.47956,                  1.037,                0.97108,                      1,                  0.995,                0.81837,                0.69682,                0.44817,                  1.138,               0.006568,               0.006568,               0.006568
                     54,                0.65898,                0.46719,                 1.0329,                0.96666,                      1,                  0.995,                0.83344,                0.68298,                0.41885,                 1.1246,               0.006502,               0.006502,               0.006502
                     55,                0.65016,                0.44202,                 0.9994,                0.95406,                0.97854,                  0.995,                0.82036,                0.70529,                0.48066,                 1.1352,               0.006436,               0.006436,               0.006436
                     56,                0.66081,                0.47675,                 1.0011,                0.94768,                      1,                  0.995,                0.83346,                0.72203,                0.48079,                 1.1586,                0.00637,                0.00637,                0.00637
                     57,                0.65855,                0.46372,                  1.033,                0.89314,                0.97773,                  0.995,                0.80534,                0.72558,                0.52803,                  1.153,               0.006304,               0.006304,               0.006304
                     58,                0.65759,                0.44651,                 1.0317,                0.96085,                0.99717,                  0.995,                 0.7965,                0.73207,                0.48389,                 1.1633,               0.006238,               0.006238,               0.006238
                     59,                0.64605,                0.47077,                 1.0134,                0.95535,                      1,                  0.995,                0.80565,                0.73336,                0.44018,                 1.1558,               0.006172,               0.006172,               0.006172
                     60,                0.61687,                0.44833,                 1.0139,                0.95902,                0.99557,                  0.995,                0.80639,                0.74108,                0.40562,                 1.1595,               0.006106,               0.006106,               0.006106
                     61,                0.65615,                0.46712,                 1.0178,                0.96107,                      1,                  0.995,                0.80898,                0.74931,                0.38706,                 1.1421,                0.00604,                0.00604,                0.00604
                     62,                0.63905,                0.42581,                 1.0338,                0.93886,                      1,                  0.995,                0.82536,                0.74932,                0.38279,                  1.165,               0.005974,               0.005974,               0.005974
                     63,                0.66379,                0.42882,                 1.0117,                0.92617,                0.99304,                  0.995,                 0.8172,                0.70077,                0.37474,                 1.1011,               0.005908,               0.005908,               0.005908
                     64,                0.60161,                0.41932,                 1.0154,                0.93325,                0.98501,                  0.995,                0.82009,                0.71832,                0.37202,                  1.104,               0.005842,               0.005842,               0.005842
                     65,                0.60004,                0.44497,                0.99576,                0.95247,                0.97987,                  0.995,                0.83824,                0.70559,                0.37017,                 1.1016,               0.005776,               0.005776,               0.005776
                     66,                0.61575,                 0.4504,                0.99879,                0.91695,                      1,                  0.995,                0.84079,                0.70139,                0.39299,                 1.0998,                0.00571,                0.00571,                0.00571
                     67,                0.60449,                0.46613,                 1.0017,                0.94579,                0.93398,                  0.985,                0.83787,                0.67894,                0.44089,                 1.0946,               0.005644,               0.005644,               0.005644
                     68,                  0.566,                0.45205,                0.99954,                0.94014,                0.96114,                   0.99,                0.85188,                0.66298,                 0.4166,                 1.0937,               0.005578,               0.005578,               0.005578
                     69,                0.61424,                0.44366,                 1.0151,                0.93403,                0.97515,                  0.995,                0.83971,                0.70981,                0.43271,                 1.1191,               0.005512,               0.005512,               0.005512
                     70,                0.65023,                0.44076,                 1.0231,                0.93191,                0.97468,                0.97269,                0.81936,                 0.7033,                0.42411,                 1.1135,               0.005446,               0.005446,               0.005446
                     71,                0.63131,                0.44704,                 1.0234,                0.94384,                  0.975,                  0.985,                0.82492,                0.67174,                0.39328,                 1.0899,                0.00538,                0.00538,                0.00538
                     72,                0.57625,                0.40473,                0.98067,                0.90776,                0.97363,                   0.99,                0.83433,                0.67496,                0.40715,                 1.0751,               0.005314,               0.005314,               0.005314
                     73,                0.58399,                 0.4082,                0.98082,                0.96018,                0.93145,                  0.995,                0.83746,                0.68594,                 0.3725,                 1.0786,               0.005248,               0.005248,               0.005248
                     74,                0.60543,                0.41813,                0.98085,                 0.9651,                0.98863,                  0.995,                0.83166,                0.68103,                0.36163,                 1.0714,               0.005182,               0.005182,               0.005182
                     75,                0.57579,                0.43209,                0.98835,                0.96044,                0.99531,                  0.995,                0.81332,                0.71423,                0.38596,                  1.117,               0.005116,               0.005116,               0.005116
                     76,                0.61715,                0.41285,                0.99985,                0.94642,                0.99489,                  0.995,                0.83953,                0.66556,                0.40156,                 1.0847,                0.00505,                0.00505,                0.00505
                     77,                0.60323,                0.41028,                0.99097,                0.97009,                0.98374,                  0.995,                0.84338,                0.65023,                0.39726,                 1.0835,               0.004984,               0.004984,               0.004984
                     78,                0.61951,                0.44346,                0.98426,                0.95745,                0.98307,                  0.995,                0.82385,                0.68273,                0.41441,                 1.1159,               0.004918,               0.004918,               0.004918
                     79,                0.57639,                  0.374,                0.99453,                0.95497,                      1,                  0.995,                 0.8395,                0.69778,                0.47302,                 1.1334,               0.004852,               0.004852,               0.004852
                     80,                 0.5788,                0.39703,                0.99069,                0.95672,                      1,                  0.995,                0.83268,                0.70456,                0.47982,                  1.136,               0.004786,               0.004786,               0.004786
                     81,                0.58606,                0.42415,                 1.0102,                0.95951,                      1,                  0.995,                 0.8352,                0.70158,                0.46834,                 1.1203,                0.00472,                0.00472,                0.00472
                     82,                0.56956,                0.39606,                 0.9766,                0.96669,                      1,                  0.995,                 0.8406,                0.67195,                0.39846,                 1.0982,               0.004654,               0.004654,               0.004654
                     83,                0.57626,                0.38557,                 1.0215,                0.97277,                      1,                  0.995,                0.84258,                0.68298,                0.36501,                 1.1122,               0.004588,               0.004588,               0.004588
                     84,                0.57416,                0.39486,                 0.9897,                0.97353,                      1,                  0.995,                0.83945,                0.67828,                0.33765,                 1.0941,               0.004522,               0.004522,               0.004522
                     85,                0.53182,                0.37398,                0.98137,                0.93962,                0.96572,                0.98667,                0.82496,                0.69103,                0.42624,                  1.115,               0.004456,               0.004456,               0.004456
                     86,                0.55923,                0.37736,                0.98015,                0.90369,                0.96059,                 0.9825,                 0.8221,                0.72443,                0.43439,                 1.1311,                0.00439,                0.00439,                0.00439
                     87,                0.57658,                0.37717,                0.96426,                0.88373,                      1,                  0.985,                 0.8042,                 0.7283,                0.40257,                  1.129,               0.004324,               0.004324,               0.004324
                     88,                  0.568,                0.37079,                0.97669,                0.92755,                0.91954,                  0.995,                0.81918,                0.74422,                0.45515,                 1.1406,               0.004258,               0.004258,               0.004258
                     89,                0.53134,                0.35062,                0.96582,                0.97353,                0.97846,                  0.995,                0.81787,                0.70647,                0.36305,                 1.1019,               0.004192,               0.004192,               0.004192
                     90,                 0.5755,                0.38498,                 1.0021,                 0.9701,                 0.9799,                  0.995,                0.83052,                 0.6822,                0.37975,                   1.09,               0.004126,               0.004126,               0.004126
                     91,                 0.5795,                0.38337,                0.97059,                 0.9795,                0.97935,                  0.995,                0.84332,                0.68825,                 0.3329,                  1.093,                0.00406,                0.00406,                0.00406
                     92,                0.54449,                0.36555,                 1.0014,                0.97702,                0.98671,                  0.995,                0.85476,                0.66459,                 0.3324,                 1.0703,               0.003994,               0.003994,               0.003994
                     93,                0.55815,                0.36991,                0.97501,                0.97041,                      1,                  0.995,                0.84649,                0.67429,                0.31373,                 1.0773,               0.003928,               0.003928,               0.003928
                     94,                0.55681,                0.36859,                0.99661,                0.96795,                      1,                  0.995,                0.86535,                0.66094,                0.30926,                 1.0561,               0.003862,               0.003862,               0.003862
                     95,                0.53576,                0.36986,                0.98265,                0.97016,                      1,                  0.995,                0.85898,                 0.6552,                0.30729,                 1.0582,               0.003796,               0.003796,               0.003796
                     96,                  0.546,                0.35226,                0.99185,                0.97579,                      1,                  0.995,                0.84473,                0.64397,                0.31711,                 1.0468,                0.00373,                0.00373,                0.00373
                     97,                0.50908,                0.34825,                0.95468,                0.97394,                0.99926,                  0.995,                 0.8582,                0.65007,                0.31892,                 1.0551,               0.003664,               0.003664,               0.003664
